Rank;Title;Artists;Date;Danceability;Energy;Loudness;Speechiness;Acousticness;Instrumentalness;Valence;id
124;CHORRITO PA LAS ANIMAS;Feid;29/05/2023;0.743;0.831;-4042.0;0.058;0.114;0.0;0.609;0CYTGMBYkwUxrj1MWDLrC5
125;Fast Car;Luke Combs;29/05/2023;0.712;0.603;-5.52;0.026;0.186;0.0;0.67;1Lo0QY9cvc8sUB2vnIOxDT
126;SNAP;Rosa Linn;29/05/2023;0.565;0.636;-8198.0;0.064;0.107;0.0;0.525;76OGwb5RA9h4FxQPT33ekc
127;Believer;Imagine Dragons;29/05/2023;0.776;0.78;-4374.0;0.128;0.062;0.0;0.666;0pqnGHJpmpxLKifKRmU6WP
128;Danza Kuduro;Don Omar, Lucenzo;29/05/2023;0.4;0.915;-4.89;0.28;0.085;0.0;0.878;2a1o6ZejUi8U3wzzOtCOYw
129;Watermelon Sugar;Harry Styles;29/05/2023;0.548;0.816;-4209.0;0.047;0.122;0.0;0.557;6UelLqGlWMcVH1E5c4H7lY
130;Everybody Wants To Rule The World;Tears For Fears;29/05/2023;0.645;0.795;-12095.0;0.053;0.347;0.004;0.535;4RvWPyQ5RL0ao9LPZeSouE
131;Reminder;The Weeknd;29/05/2023;0.706;0.505;-6923.0;0.193;0.142;0.0;0.388;37F0uwRSrdzkBiuj0D5UHI
132;Somewhere Only We Know;Keane;29/05/2023;0.453;0.655;-4.22;0.026;0.079;0.0;0.368;0ll8uFnc0nANY35E0Lfxvg
133;Take on Me;a-ha;29/05/2023;0.573;0.902;-7638.0;0.054;0.018;0.001;0.876;2WfaOiMkCvy7F5fcp2zZ8L
134;Ghost;Justin Bieber;29/05/2023;0.601;0.741;-5569.0;0.048;0.185;0.0;0.441;6I3mqTwhRpn34SLVafSH7G
135;Can't Hold Us (feat. Ray Dalton);Macklemore & Ryan Lewis, Macklemore, Ryan Lewis, Ray Dalton;29/05/2023;0.633;0.927;-4468.0;0.084;0.027;0.0;0.88;22skzmqfdWrjJylampe0kt
136;Cartão Black;MC Caverinha, KayBlack, Wall Hein;29/05/2023;0.842;0.468;-8572.0;0.637;0.255;0.0;0.547;12YCtLHGk6tP6RbHDHflCs
137;Apocalypse;Cigarettes After Sex;29/05/2023;0.369;0.467;-9018.0;0.027;0.019;0.46;0.174;3AVrVz5rK8Hrqo9YGiVGN5
138;Tití Me Preguntó;Bad Bunny;29/05/2023;0.65;0.715;-5198.0;0.253;0.099;0.0;0.187;1IHWl5LamUGEuP4ozKQSXZ
139;Normal;Feid;29/05/2023;0.709;0.56;-4867.0;0.171;0.034;0.0;0.541;0T2pB7P1VdXPhLdQZ488uH
140;Midnight Rain;Taylor Swift;29/05/2023;0.643;0.363;-11738.0;0.077;0.69;0.0;0.23;3rWDp9tBPQR9z6U5YyRSK4
